playerId,basePrice,playerName,country,role,cappedStatus,countryId,isPlayerOverseas,
24291,20.0 L,Sandeep Kumar Tomar,India,WK-Batter,UNCAPPED,2,,
13070,20.0 L,Ryan Rickelton,South Africa,WK-Batter,UNCAPPED,11,TRUE,
24296,20.0 L,Fazil Makaya,India,WK-Batter,UNCAPPED,2,,
14889,20.0 L,Tarang Gohel ,India,WK-Batter,UNCAPPED,2,,
8555,20.0 L,Cam Fletcher,New Zealand,WK-Batter,UNCAPPED,13,TRUE,
12088,20.0 L,Harvik Desai,India,WK-Batter,UNCAPPED,2,,
13216,20.0 L,Tanush Kotian,India,Allrounder,UNCAPPED,2,,
8353,20.0 L,Roosh Kalaria,India,Allrounder,UNCAPPED,2,,
16001,20.0 L,Prince Balwant Rai,India,Bowler,UNCAPPED,2,,
18867,20.0 L,Khrievitso Kense,India,Bowler,UNCAPPED,2,,
9033,20.0 L,Dharmendrasinh Jadeja,India,Bowler,UNCAPPED,2,,
10946,20.0 L,Zeeshan Ansari,India,Bowler,UNCAPPED,2,,
10486,20.0 L,Vijaykumar Vyshak,India,Bowler,UNCAPPED,2,,
9244,20.0 L,Lukman Meriwala,India,Bowler,UNCAPPED,2,,
11965,20.0 L,Upendra Yadav,India,WK-Batter,UNCAPPED,2,,
8351,20.0 L,Akshdeep Nath,India,WK-Batter,UNCAPPED,2,,
7829,20.0 L,Kedar Devdhar,India,WK-Batter,UNCAPPED,2,,
9298,20.0 L,Ankush Bains,India,Allrounder,UNCAPPED,2,,
12335,20.0 L,Tanay Thyagarajan,India,Allrounder,UNCAPPED,2,,
13478,20.0 L,Ritwik Chowdhury,India,Allrounder,UNCAPPED,2,,
8810,20.0 L,Priyank Panchal,India,Allrounder,UNCAPPED,2,,
8996,20.0 L,Nikhil Gangta,India,Allrounder,UNCAPPED,2,,
11796,20.0 L,Shivam Chauhan,India,Batter,UNCAPPED,2,,
13959,50.0 L,Hayden Walsh,West Indies,Bowler,CAPPED,10,TRUE,
6304,50.0 L,Rahul Sharma,India,Bowler,CAPPED,2,,
14277,50.0 L,Waqar Salamkheil,Afghanistan,Bowler,CAPPED,96,TRUE,
9720,50.0 L,Keshav Maharaj,South Africa,Bowler,CAPPED,11,TRUE,
10828,50.0 L,Zahir Khan,Afghanistan,Bowler,CAPPED,96,TRUE,
1807,20.0 L,Shreevats Goswami,India,WK-Batter,UNCAPPED,2,,
1597,50.0 L,Murali Vijay,India,Allrounder,CAPPED,2,,
10315,20.0 L,M Nidheesh,India,Bowler,UNCAPPED,2,,
12314,20.0 L,Eknath Kerkar,India,WK-Batter,UNCAPPED,2,,
15525,20.0 L,Shubham Kumar Singh,India,Bowler,UNCAPPED,2,,
12820,20.0 L,Shubham Singh,India,Allrounder,UNCAPPED,2,,
14702,20.0 L,Shivam sharma,India,Allrounder,UNCAPPED,2,,
9205,20.0 L,Dhruv Shorey,India,Batter,UNCAPPED,2,,
12341,20.0 L,Mayank Rawat,India,Batter,UNCAPPED,2,,
10949,20.0 L,Amandeep Khare,India,Batter,UNCAPPED,2,,
11857,20.0 L,Gahlaut Rahul Singh,India,Batter,UNCAPPED,2,,
9716,20.0 L,Abhimanyu Easwaran,India,Batter,UNCAPPED,2,,
11312,20.0 L,Hiten Dalal,India,Batter,UNCAPPED,2,,
8992,20.0 L,Sudip Chatterjee,India,Batter,UNCAPPED,2,,
6322,40.0 L,Harpreet Singh Bhatia,India,Batter,UNCAPPED,2,,
8548,50.0 L,Taskin Ahmed,Bangladesh,Bowler,CAPPED,6,TRUE,
11077,50.0 L,Karim Janat,Afghanistan,Allrounder,CAPPED,96,TRUE,
13067,50.0 L,Janneman Malan,South Africa,Batter,CAPPED,11,TRUE,
8107,30.0 L,Jalaj Saxena,India,Allrounder,UNCAPPED,2,,
10358,20.0 L,Pardeep Sahu,India,Bowler,UNCAPPED,2,,
8119,2.0 Cr,Marchant de Lange,South Africa,Allrounder,CAPPED,11,TRUE,
6642,2.0 Cr,James Vince,England,Batter,CAPPED,9,TRUE,
1114,50.0 L,Paul Stirling,Ireland,Allrounder,CAPPED,27,TRUE,
2244,1.0 Cr,Rilee Rossouw,South Africa,Batter,CAPPED,11,TRUE,
8424,50.0 L,Hanuma Vihari,India,Allrounder,CAPPED,2,,
7752,1.50 Cr,Chris Lynn,Australia,Batter,CAPPED,4,TRUE,
12951,20.0 L,Nivethan Radhakrishnan,Australia,Allrounder,UNCAPPED,4,TRUE,
8734,20.0 L,Ronit More,India,Bowler,UNCAPPED,2,,
12315,20.0 L,Sairaj Patil,India,Batter,UNCAPPED,2,,
9783,20.0 L,Monu Kumar,India,Bowler,UNCAPPED,2,,
10324,20.0 L,Mihir Hirwani,India,Bowler,UNCAPPED,2,,
14701,20.0 L,Nitish Reddy,India,Allrounder,UNCAPPED,2,,
14964,20.0 L,Hardik Tamore,India,Batter,UNCAPPED,2,,
12644,20.0 L,Agnivesh Ayachi,India,Bowler,UNCAPPED,2,,
13173,20.0 L,Lance Morris,Australia,Bowler,UNCAPPED,4,TRUE,
13170,20.0 L,Aaron Hardie,Australia,Allrounder,UNCAPPED,4,TRUE,
10394,2.0 Cr,Saqib Mahmood,England,Bowler,CAPPED,9,TRUE,
6315,20.0 L,Aditya Tare,India,WK-Batter,UNCAPPED,2,,
13172,1.0 Cr,Josh Philippe,Australia,WK-Batter,CAPPED,4,TRUE,
10389,50.0 L,Bradley Wheal,Scotland,Bowler,CAPPED,23,TRUE,
587,,Ravindra Jadeja,India,Allrounder,CAPPED,2,,
265,,MS Dhoni,India,WK-Batter,CAPPED,2,,Chennai Super Kings
6692,,Moeen Ali,England,Allrounder,CAPPED,9,TRUE,
11813,,Ruturaj Gaikwad,India,Batter,CAPPED,2,,
7736,,Andre Russell,Jamaica,Allrounder,CAPPED,,TRUE,
12926,,Varun Chakravarthy,India,Bowler,CAPPED,2,,
10917,,Venkatesh Iyer,India,Allrounder,CAPPED,2,,
2276,,Sunil Narine,West Indies,Allrounder,CAPPED,10,TRUE,
576,,Rohit Sharma,India,Batter,CAPPED,2,,
9311,,Jasprit Bumrah,India,Bowler,CAPPED,2,,
7915,,Suryakumar Yadav,India,Batter,CAPPED,2,,
657,,Kieron Pollard,West Indies,Allrounder,CAPPED,10,TRUE,
10744,,Rishabh Pant,India,WK-Batter,CAPPED,2,,
12094,,Prithvi Shaw,India,Batter,CAPPED,2,,
8808,,Axar Patel,India,Allrounder,CAPPED,2,,
11427,,Anrich Nortje,South Africa,Bowler,CAPPED,11,TRUE,
6326,,Kane Williamson,New Zealand,Batter,CAPPED,13,TRUE,
14628,,Abdul Samad,India,Allrounder,UNCAPPED,2,,
19027,,Umran Malik,India,Bowler,UNCAPPED,2,,
1413,,Virat Kohli,India,Batter,CAPPED,2,,
7662,,Glen Maxwell,Australia,Allrounder,CAPPED,4,TRUE,
10808,,Mohammed Siraj,India,Bowler,CAPPED,2,,
8271,,Sanju Samson,India,WK-Batter,CAPPED,2,,
2258,,Jos Buttler,England,WK-Batter,CAPPED,9,TRUE,
13940,,Yashasvi Jaiswal,India,Batter,UNCAPPED,2,,
13217,,Arshdeep Singh,India,Bowler,UNCAPPED,2,,
2195,,Mayank Agarwal,India,Batter,CAPPED,2,,
9647,,Hardik Pandya,India,Allrounder,CAPPED,2,,
10738,,Rashid Khan,Afghanistan,Bowler,CAPPED,96,TRUE,
11808,,Shubman Gill,India,Batter,CAPPED,2,,
8733,,KL Rahul,India,WK-Batter,CAPPED,2,,
8989,,Marcus Stoinis,Australia,Allrounder,CAPPED,4,TRUE,
14659,,Ravi Bishnoi,India,Bowler,CAPPED,2,,
7836,,Deepak Chahar,India,Bowler,CAPPED,2,,
